no_of_student,day,item_1_name,item_1_cooked,item_1_left_over,item_2_name,item_2_cooked,item_2_left_over,item_3_name,item_3_cooked,item_3_left_over
412,Tuesday,papu,16.15,1.64,rasam,11.64,1.56,sambar,9.51,1.45
465,Monday,papu,13.0,2.19,rasam,19.04,4.42,sambar,7.24,1.1
511,Thursday,papu,12.18,2.06,rasam,17.92,2.32,sambar,7.68,1.28
416,Sunday,papu,10.86,0.87,rasam,19.92,1.77,sambar,15.14,0.98
518,Monday,papu,9.74,1.0,rasam,6.34,0.73,sambar,13.99,3.49
519,Saturday,papu,8.28,1.82,rasam,15.19,3.43,sambar,7.68,0.98
554,Friday,papu,5.12,0.89,rasam,17.66,3.62,sambar,5.74,1.09
436,Sunday,papu,12.9,3.1,rasam,19.46,3.9,sambar,9.38,0.5
417,Friday,papu,18.83,1.6,rasam,9.52,0.82,sambar,15.45,1.55
465,Monday,papu,16.86,3.85,rasam,10.53,2.23,sambar,8.19,1.41
409,Tuesday,papu,5.04,1.12,rasam,11.12,2.75,sambar,6.0,0.44
558,Sunday,papu,14.29,2.51,rasam,5.45,1.31,sambar,11.17,2.42
596,Thursday,papu,17.75,1.14,rasam,10.78,1.55,sambar,8.06,1.35
488,Tuesday,papu,19.93,4.34,rasam,8.78,1.01,sambar,19.91,1.91
544,Saturday,papu,11.26,1.79,rasam,17.98,1.5,sambar,13.23,3.18
561,Sunday,papu,9.73,1.13,rasam,9.29,1.09,sambar,11.98,1.63
511,Wednesday,papu,15.29,1.69,rasam,5.18,0.97,sambar,12.47,1.96
566,Monday,papu,10.61,1.1,rasam,18.32,4.09,sambar,18.46,3.17
509,Thursday,papu,17.11,2.87,rasam,7.26,0.78,sambar,9.94,1.46
524,Sunday,papu,15.97,3.3,rasam,12.14,0.65,sambar,11.33,1.49
525,Thursday,papu,5.58,0.94,rasam,17.19,2.45,sambar,15.13,2.77
563,Friday,papu,5.93,0.4,rasam,14.39,1.51,sambar,7.57,1.62
510,Thursday,papu,17.61,4.08,rasam,19.18,3.31,sambar,15.45,2.18
425,Saturday,papu,12.67,3.04,rasam,16.31,3.77,sambar,11.22,1.97
598,Saturday,papu,9.14,1.44,rasam,12.48,2.56,sambar,12.63,1.89
478,Monday,papu,18.48,4.43,rasam,12.69,1.21,sambar,13.08,1.75
578,Friday,papu,11.09,1.84,rasam,8.67,0.65,sambar,7.38,0.7
487,Monday,papu,8.74,0.56,rasam,16.36,0.85,sambar,18.47,2.75
508,Thursday,papu,8.06,1.88,rasam,12.73,2.73,sambar,11.35,1.53
486,Monday,papu,8.11,1.75,rasam,15.62,2.58,sambar,7.78,0.68
489,Friday,papu,15.26,2.22,rasam,13.17,1.1,sambar,10.38,0.68
506,Tuesday,papu,16.98,3.46,rasam,12.17,1.95,sambar,19.55,4.01
429,Monday,papu,19.21,4.49,rasam,7.75,1.71,sambar,8.51,1.73
560,Wednesday,papu,8.78,1.45,rasam,7.82,0.67,sambar,18.05,1.52
566,Wednesday,papu,14.69,1.61,rasam,11.89,1.97,sambar,18.23,3.26
531,Thursday,papu,18.3,3.14,rasam,13.41,2.44,sambar,5.57,0.69
480,Tuesday,papu,14.65,3.49,rasam,16.97,2.9,sambar,10.18,1.71
457,Saturday,papu,16.69,2.5,rasam,7.5,1.7,sambar,13.27,1.91
413,Wednesday,papu,18.39,1.83,rasam,6.71,1.21,sambar,13.84,1.81
575,Saturday,papu,16.94,2.97,rasam,9.17,0.48,sambar,5.14,0.46
456,Friday,papu,16.4,1.02,rasam,10.06,0.97,sambar,18.3,1.45
515,Wednesday,papu,6.85,1.54,rasam,18.46,3.92,sambar,9.9,1.38
588,Friday,papu,9.04,1.74,rasam,6.13,1.29,sambar,11.27,1.81
478,Friday,papu,9.64,0.99,rasam,13.83,2.76,sambar,14.25,3.14
431,Sunday,papu,14.82,1.57,rasam,18.03,3.53,sambar,11.41,1.83
515,Wednesday,papu,16.02,2.87,rasam,16.86,2.92,sambar,15.82,1.09
546,Wednesday,papu,9.17,1.17,rasam,12.75,1.44,sambar,16.2,1.08
536,Sunday,papu,14.68,3.11,rasam,12.81,1.77,sambar,8.58,0.93
471,Friday,papu,16.05,1.79,rasam,6.54,1.17,sambar,5.85,0.44
502,Thursday,papu,9.84,2.08,rasam,15.35,1.24,sambar,9.93,2.12
594,Saturday,papu,18.2,2.29,rasam,6.06,0.53,sambar,11.81,0.85
447,Wednesday,papu,17.7,4.16,rasam,14.42,3.18,sambar,18.51,2.1
551,Saturday,papu,7.82,1.46,rasam,13.55,2.4,sambar,5.24,0.98
540,Monday,papu,15.77,2.15,rasam,12.1,0.88,sambar,13.41,1.03
550,Tuesday,papu,9.99,0.79,rasam,14.53,3.23,sambar,13.61,1.07
533,Wednesday,papu,14.14,0.73,rasam,15.69,1.35,sambar,6.99,0.96
599,Tuesday,papu,8.78,0.97,rasam,18.28,4.13,sambar,12.45,2.53
585,Monday,papu,10.81,1.07,rasam,13.85,1.14,sambar,10.9,0.87
511,Tuesday,papu,8.51,0.51,rasam,19.6,3.92,sambar,11.61,1.9
598,Wednesday,papu,19.72,4.21,rasam,17.01,1.95,sambar,6.64,0.55
567,Monday,papu,6.95,1.1,rasam,15.86,3.29,sambar,19.51,2.08
