no_of_student,day,item_1_name,item_1_cooked,item_1_left_over,item_2_name,item_2_cooked,item_2_left_over,item_3_name,item_3_cooked,item_3_left_over
981,Wednesday,paneer,30.22,5.56,paratha,84.12,20.78,sambar,46.9,8.81
293,Wednesday,upma,82.95,4.78,pulao,69.58,5.03,dosa,42.86,9.03
787,Sunday,paneer,40.59,9.47,sambar,22.44,1.44,pulao,7.19,0.49
616,Saturday,chole,15.91,3.26,dosa,8.34,0.91,biryani,24.12,5.52
476,Sunday,paratha,19.1,4.26,roti,48.76,6.35,khichdi,5.4,1.13
333,Saturday,pulao,62.05,11.7,sambar,12.14,1.25,paratha,18.02,1.23
608,Saturday,idli,86.85,5.73,dal,17.07,1.67,rajma,45.5,11.33
324,Monday,roti,31.56,6.37,rajma,38.21,6.66,paratha,41.61,4.14
778,Friday,upma,35.42,7.74,vada,44.04,9.0,rajma,47.41,11.58
556,Monday,biryani,74.44,16.12,dosa,8.03,0.55,paneer,67.79,13.59
683,Wednesday,poori,15.39,2.27,roti,66.21,10.08,upma,53.1,6.28
836,Monday,sambar,69.36,11.7,chole,61.72,10.97,poori,5.59,0.88
274,Friday,paratha,73.1,15.52,biryani,36.13,6.54,pulao,55.17,7.42
585,Friday,poori,6.58,0.57,dosa,3.11,0.76,dal,48.36,9.27
947,Wednesday,sambar,39.38,3.05,poori,59.88,13.43,roti,73.62,4.05
970,Sunday,dosa,65.35,16.11,paneer,59.11,3.9,upma,48.66,6.2
894,Friday,biryani,81.42,19.31,dosa,5.01,0.84,sambar,28.21,6.9
193,Thursday,paratha,21.37,4.68,khichdi,64.17,15.52,dosa,17.79,2.9
245,Sunday,pulao,15.4,3.72,upma,44.67,4.96,roti,29.84,2.83
408,Tuesday,biryani,59.22,10.99,chole,55.28,11.35,idli,12.73,1.49
948,Friday,poori,27.5,1.88,sambar,53.21,3.43,khichdi,70.22,14.14
337,Wednesday,chole,84.11,4.5,vada,23.9,2.34,sambar,30.48,4.33
901,Tuesday,rajma,20.72,1.75,roti,62.77,6.47,biryani,24.74,4.27
699,Monday,dosa,38.49,2.8,paneer,33.28,6.65,poori,28.31,6.73
827,Wednesday,dal,36.68,8.08,sambar,33.17,5.77,pulao,16.59,2.06
287,Thursday,biryani,29.56,2.83,dosa,9.49,2.21,pulao,37.6,5.68
577,Thursday,chole,63.77,11.11,paneer,46.29,2.68,pulao,41.36,3.05
574,Wednesday,idli,2.53,0.47,pulao,52.97,13.06,chole,33.95,1.83
803,Sunday,roti,9.78,1.12,paneer,85.94,19.76,rajma,88.79,9.72
706,Wednesday,idli,6.16,1.37,rajma,44.53,10.99,paratha,49.14,7.4
518,Wednesday,sambar,26.34,6.56,dal,61.76,3.88,poori,10.62,1.65
